year,climate_change,ocean_acidification,ozone_depletion,atmospheric_aerosol,biogeochimical_phosphore,biogeochimical_nitrogen,blue_water,green_water,land_use,genetic_diversity,fonctional_diversity,novel_entities
1911.0,299.2681651376147,3.386266975,290.3142857142857,0.046219653179190745,1.55,1.1,10.628571428571428,10.293103448275863,94.81428571428572,35.907514450867055,12.186046511627907,0.61
1912.0,299.5840366972477,3.38391174,290.34285714285716,0.04648554913294797,1.6,1.2000000000000002,10.7,10.337931034482759,94.34285714285714,36.47976878612717,12.350626118067982,0.62
1913.0,299.89990825688074,3.381556505,290.37142857142857,0.0467514450867052,1.65,1.3,10.77142857142857,10.382758620689655,93.87142857142857,37.052023121387286,12.515205724508053,0.63
1914.0,300.21577981651376,3.37920127,290.4,0.04701734104046243,1.7000000000000002,1.4000000000000001,10.842857142857142,10.427586206896551,93.4,37.6242774566474,12.679785330948125,0.64
1915.0,300.5316513761468,3.376846035,290.42857142857144,0.04728323699421965,1.75,1.5,10.914285714285713,10.472413793103449,92.92857142857143,38.19653179190751,12.844364937388196,0.65
1916.0,300.8475229357798,3.3744908000000002,290.45714285714286,0.04754913294797687,1.8,1.6,10.985714285714286,10.517241379310345,92.45714285714286,38.76878612716763,13.008944543828267,0.66
1917.0,301.16339449541283,3.3721355650000002,290.48571428571427,0.0478150289017341,1.85,1.7000000000000002,11.057142857142857,10.562068965517241,91.98571428571428,39.34104046242774,13.173524150268339,0.67
1918.0,301.47926605504585,3.36978033,290.51428571428573,0.04808092485549133,1.9,1.8,11.128571428571428,10.606896551724137,91.51428571428572,39.91329479768786,13.33810375670841,0.68
1919.0,301.7951376146789,3.367425095,290.54285714285714,0.048346820809248556,1.9500000000000002,1.9000000000000001,11.2,10.651724137931035,91.04285714285714,40.48554913294797,13.502683363148481,0.6900000000000001
1920.0,302.1110091743119,3.36506986,290.57142857142856,0.04861271676300578,2.0,2.0,11.27142857142857,10.696551724137931,90.57142857142857,41.05780346820809,13.667262969588553,0.7000000000000001
1921.0,302.426880733945,3.363534539,290.6,0.048878612716763005,2.05,2.1,11.342857142857142,10.741379310344827,90.1,41.630057803468205,13.831842576028627,0.71
1922.0,302.742752293578,3.3619992180000002,290.62857142857143,0.049144508670520226,2.1,2.2,11.414285714285713,10.786206896551723,89.62857142857143,42.202312138728324,13.996422182468699,0.72
1923.0,303.05862385321103,3.3604638970000003,290.65714285714284,0.049410404624277454,2.1500000000000004,2.3000000000000003,11.485714285714284,10.831034482758621,89.15714285714286,42.774566473988436,14.16100178890877,0.73
1924.0,303.37449541284406,3.3589285760000003,290.6857142857143,0.04967630057803468,2.2,2.4000000000000004,11.557142857142857,10.875862068965517,88.68571428571428,43.346820809248555,14.325581395348841,0.74
1925.0,303.6903669724771,3.357393255,290.7142857142857,0.04994219653179191,2.25,2.5,11.628571428571428,10.920689655172414,88.21428571428572,43.91907514450867,14.490161001788914,0.75
1926.0,304.0062385321101,3.355857934,290.74285714285713,0.05020809248554913,2.3,2.6,11.7,10.96551724137931,87.74285714285715,44.49132947976879,14.604651162790702,0.76
1927.0,304.3221100917431,3.354322613,290.77142857142854,0.05047398843930635,2.35,2.7,11.77142857142857,11.010344827586206,87.27142857142857,45.0635838150289,14.71914132379249,0.77
